date,amount,currency,note
2026-06-02,1800,USD,orders
2026-06-03,1650,USD,
2026-06-04,900,USD,
2026-06-05,1900,USD,
2026-06-06,1700,USD,
2026-06-09,2000,USD,
2026-06-10,1750,USD,
2026-06-11,950,USD,
2026-06-12,2100,USD,
2026-06-13,1800,USD,
2026-06-16,2200,USD,
2026-06-17,1850,USD,
2026-06-18,1000,USD,
2026-06-19,2300,USD,
2026-06-20,1900,USD,
2026-06-23,2400,USD,
2026-06-24,1950,USD,
2026-06-25,1050,USD,
2026-06-26,2500,USD,
2026-06-27,2000,USD,
2026-06-30,2100,USD,
2026-07-01,2600,USD,MTD — above BE sample
2026-07-02,2100,USD,
2026-07-03,1100,USD,
2026-07-07,2700,USD,
2026-07-08,2200,USD,
2026-07-09,1150,USD,
2026-07-10,2800,USD,
2026-07-11,2300,USD,
2026-07-14,2900,USD,
2026-07-15,2400,USD,
2026-07-16,1200,USD,
2026-07-17,3000,USD,
2026-07-18,2500,USD,
2026-07-21,3100,USD,
2026-07-22,2600,USD,
2026-07-23,1250,USD,
2026-07-24,3200,USD,
2026-07-25,2700,USD,
2026-07-28,3300,USD,
2026-07-29,2800,USD,
2026-07-30,1300,USD,
2026-07-31,3400,USD,
