date,channel,amount,currency,note
2026-06-02,Meta,420,USD,prospecting
2026-06-03,Google,380,USD,search brand
2026-06-04,TikTok,120,USD,test
2026-06-05,Meta,440,USD,
2026-06-06,Google,390,USD,
2026-06-09,Meta,450,USD,
2026-06-10,Google,400,USD,
2026-06-11,TikTok,130,USD,
2026-06-12,Meta,460,USD,
2026-06-13,Google,410,USD,
2026-06-16,Meta,470,USD,
2026-06-17,Google,420,USD,
2026-06-18,TikTok,140,USD,
2026-06-19,Meta,480,USD,
2026-06-20,Google,430,USD,
2026-06-23,Meta,490,USD,
2026-06-24,Google,440,USD,
2026-06-25,TikTok,150,USD,
2026-06-26,Meta,500,USD,
2026-06-27,Google,450,USD,
2026-06-30,Meta,510,USD,
2026-07-01,Meta,520,USD,MTD start
2026-07-02,Google,460,USD,
2026-07-03,TikTok,160,USD,
2026-07-07,Meta,530,USD,
2026-07-08,Google,470,USD,
2026-07-09,TikTok,170,USD,
2026-07-10,Meta,540,USD,
2026-07-11,Google,480,USD,
2026-07-14,Meta,550,USD,
2026-07-15,Google,490,USD,
2026-07-16,TikTok,180,USD,
2026-07-17,Meta,560,USD,
2026-07-18,Google,500,USD,
2026-07-21,Meta,570,USD,
2026-07-22,Google,510,USD,
2026-07-23,TikTok,190,USD,
2026-07-24,Meta,580,USD,
2026-07-25,Google,520,USD,
2026-07-28,Meta,590,USD,
2026-07-29,Google,530,USD,
2026-07-30,TikTok,200,USD,
2026-07-31,Meta,600,USD,
