id,app,source,url,reviewer,country,date,stars,tenure,problem_ids,paraphrase,verbatim_snippet,grade,notes
R-BP-001,BeProfit,taranker_reprint,https://taranker.com/shopify-beprofit-profit-tracker-app-customer-reviews,A Farley Country Attire,UK,2026-01-07,1,2 days,P-001|P-015,Connected Google Ads; tool imported about 15 percent of actual spend; live chat said only UTM/converted spend counts; inflates profit; useless for PMax.,A profit tool must always show total ad spend even if attribution is imperfect.,reprint,Also on Shopify 1-star filter
R-COM-001,category,shopify_community,https://community.shopify.com/t/anyone-using-clearprofit-for-profit-tracking-thinking-of-switching-from-spreadsheets/588628,thread OP + replies,n/a,2026-02,n/a,n/a,P-001|P-004|P-006|P-015,Sheets messy at 15-20k/mo; TW feels overkill; checklist: timestamp COGS; pull TOTAL not attributed spend; order+SKU profit; many 49-149 apps fail price test.,I just want to know my real net profit per order without spending 30 minutes a day in spreadsheets.,primary_listing,Not an app review; operator job spec
R-TW-001,TripleWhale,appnavigator_reprint,https://appnavigator.io/app/triplewhale-1/reviews/2272366,Kove Footwear,NL,2026-07-06,1,1 day,P-002|P-008|P-014,CS unreachable; AI help needs credits; stale UI; revenue includes VAT.,revenue should never be including VAT,reprint,Listing https://apps.shopify.com/triplewhale-1/reviews?ratings%5B%5D=1
R-TP-001,TrueProfit,shopify_listing,https://apps.shopify.com/trueprofit/reviews?ratings%5B%5D=1,VocaSpark,PT,2026-07-04,1,27 days,P-002|P-004|P-007,Charged after trial despite day-one uninstall; reinstall left variants stale with no self-serve refresh; no VAT collection tracking. Vendor: VAT excluded from Net Profit.,doesn't track VAT collection,primary_listing,Vendor reply 2026-07-08
R-TP-002,TrueProfit,taranker_reprint,https://taranker.com/shopify-trueprofit-app-customer-reviews?filter-by=1,bamtoo,DE,2024-12-21,1,12 months,P-003,Two-month sales uplift billed about 4x usual plus subscription; no notice that extra orders cost money; support would not compensate.,beware of extremely high extra hidden costs,reprint,
R-TP-003,TrueProfit,taranker_reprint,https://taranker.com/shopify-trueprofit-app-customer-reviews?filter-by=1,The Brooklyn Singapore,SG,2026-01-20,1,3 years,P-003|P-007,One-week notice to accept 400 percent hike on legacy plan or be banned.,AVOID There's better Profit Apps out there,reprint,
R-TP-004,TrueProfit,taranker_reprint,https://taranker.com/shopify-trueprofit-app-customer-reviews?filter-by=1,BrickHelmets,n/a,2026-01-11,1,n/a,P-007,Support said uninstall to stop billing; charged again while uninstalled; 3 messages 2 weeks silence.,changed AGAIN and it wasnt even installed,reprint,
R-TP-005,TrueProfit,shopify_listing,https://apps.shopify.com/trueprofit/reviews?ratings%5B%5D=1,WASABI Knives,DE,2021-05-10,1,1 hour,P-012,Transaction fees are a formula not Shopify actuals; names BeProfit as pulling Shopify fees.,The transaction fees are calculated by a formula although this can be pulled directly from Shopify.,primary_listing,Old but structurally current
R-TP-006,TrueProfit,taranker_reprint,https://taranker.com/shopify-trueprofit-app-customer-reviews?filter-by=1,BeShaped,PL,2025-09-18,1,5 months,P-001|P-008,Login broken days; no support; wrong ad spend and returns.,Wrongly counts ad spend returns etc.,reprint,
R-TP-007,TrueProfit,taranker_reprint,https://taranker.com/shopify-trueprofit-app-customer-reviews?filter-by=1,myvial,n/a,2024-09-18,1,n/a,P-008,Google Ads connect failed 5x; support told them to delete all browser data; others had same bug.,DELETE ALL BROWSER DATA,reprint,
R-LT-001,Lifetimely,taranker_reprint,https://taranker.com/shopify-lifetimely-lifetime-value-and-profit-analytics-app-customer-reviews?filter-by=1,Chef Preserve,US,2025-07-09,1,1 year,P-003|P-008|P-001,Post-AMP: inaccurate Google+Amazon ad spend; 30 chats 10 emails 20 days; 600/mo volume vs 30 under founder.,I'm paying them $600/month because of their volume-based pricing (which is a rip-off),reprint,
R-LT-002,Lifetimely,shopify_listing,https://apps.shopify.com/lifetimely-lifetime-value-and-profit-analytics/reviews?ratings%5B%5D=1,Koss Design,IE,2024-11-28,1,>1 year,P-005|P-008,Post-purchase upsell makes numbers irrelevant; support closes tickets without depth; 10 days wasted.,I would be VERY VERY VERY cautious when looking at the numbers,primary_listing,
R-LT-003,Lifetimely,shopify_listing,https://apps.shopify.com/lifetimely-lifetime-value-and-profit-analytics/reviews?ratings%5B%5D=1,carnivoro,DE,2025-09-02,1,>2 years,P-010,Amazon add-on priced like the Shopify app; months of tickets; still buggy after promised fix.,Would be nice to have your analytics in one place,primary_listing,
R-LT-004,Lifetimely,shopify_listing,https://apps.shopify.com/lifetimely-lifetime-value-and-profit-analytics,organifi,US,2026-07-13,5,~5 years,P-011,Paid analysts who could not get LTV logic; app does it by default.,ungodly amount on data analysts who couldn't seem to understand the logic of the lifetime value calculation,primary_listing,5-star job not complaint
R-LT-005,Lifetimely,shopify_listing,https://apps.shopify.com/lifetimely-lifetime-value-and-profit-analytics/reviews?ratings%5B%5D=1,Armor Class,DK,2024-05-15,1,18 days,P-003|P-011,Trial downgrade still billed top plan; weighted LTV inaccurate.,Their weighted LTV is also very inaccurate.,primary_listing,
R-LT-006,Lifetimely,shopify_listing,https://apps.shopify.com/lifetimely-lifetime-value-and-profit-analytics/reviews?ratings%5B%5D=1,Twitter Bikes,US,2025-07-08,1,~1 month,P-003,Free up to 50 orders but cannot do anything without paying.,It says FREE up to 50 orders but you cannot do anything without starting to pay.,primary_listing,
R-LT-007,Lifetimely,shopify_listing,https://apps.shopify.com/lifetimely-lifetime-value-and-profit-analytics/reviews?ratings%5B%5D=1,Sellsbydanchic,DE,2025-05-23,1,~1 month,P-003|P-008,Prices do not load; 150 EUR/mo without live support; switched while waiting.,If I pay 150 euros a month I expect direct live support.,primary_listing,
R-BP-002,BeProfit,shopify_listing,https://apps.shopify.com/beprofit-profit-tracker/reviews?ratings%5B%5D=1,PuppyPad,US,2024-03-07,1,~3 years,P-004|P-008,Products missing so costs cannot be entered; data skewed; still unfixed weeks later.,All my data is skewed and inaccurate,primary_listing,
R-BP-003,BeProfit,taranker_reprint,https://taranker.com/shopify-beprofit-profit-tracker-app-customer-reviews,Omni Wave,n/a,2025-06-28,5,n/a,P-006,Excel was time-consuming and not accurate; app made the business make sense.,I used to rely on Excel files to keep track of business numbers,reprint,5-star job
R-BP-004,BeProfit,shopify_listing,https://apps.shopify.com/beprofit-profit-tracker/reviews?ratings%5B%5D=1,Adrienne Landau,US,2026-04-22,1,>2 years,P-007,Installed 2023 unused; 720/yr; will not cancel or refund after pre-charge cancel request.,company has been paying $720 per year since --- never used,primary_listing,
R-BP-005,BeProfit,taranker_reprint,https://taranker.com/shopify-beprofit-profit-tracker-app-customer-reviews,STADIUMDREAMS,n/a,2026-01-29,1,n/a,P-007,Timely cancel; still took full annual amount.,Despite my timely cancellation the company still debited my account for the full annual amount.,reprint,
R-BP-006,BeProfit,shopify_listing,https://apps.shopify.com/beprofit-profit-tracker/reviews?ratings%5B%5D=1,Cloudflops Sverige,SE,2024-07-31,1,9 months,P-008,Highest plan; bot chats; email dead; 2 week waits; no AM.,It's a sign that the app is dying.,primary_listing,Vendor: Viably acquisition
